pickup_location,drop_location,pickup_hour,weekday,is_weekend,season,trip_distance_km,traffic_level,passenger_count,surge_multiplier
Inwood,East Harlem,21,Saturday,1,Spring,3.32,Low,1,1.0
Bedford-Stuyvesant,Inwood,10,Tuesday,0,Spring,2.53,Medium,1,1.3
Fort Hamilton,Bath Beach,9,Sunday,1,Summer,1.72,High,1,1.8
Bedford-Stuyvesant,East Harlem,13,Tuesday,0,Spring,1.51,Low,1,1.0
Hell's Kitchen,Williamsburg,19,Thursday,0,Winter,0.64,High,1,1.8
South Slope,Harlem,0,Sunday,1,Winter,1.4,Low,1,1.0
Hell's Kitchen,Kensington,18,Sunday,1,Summer,10.17,High,1,1.8
Harlem,East Harlem,7,Monday,0,Winter,3.25,Medium,4,1.3
Bedford-Stuyvesant,Upper West Side,1,Sunday,1,Spring,1.35,Low,6,1.0
West Village,Park Slope,23,Wednesday,0,Summer,2.97,Low,1,1.0
Harlem,Bedford-Stuyvesant,19,Thursday,0,Winter,6.29,High,2,1.8
Tottenville,Woodrow,0,Sunday,1,Spring,10.67,Low,2,1.0
Fort Greene,South Slope,20,Friday,0,Winter,7.77,Medium,1,1.3
West Village,South Slope,9,Monday,0,Spring,1.82,High,1,1.8
West Village,West Village,23,Friday,0,Spring,5.47,Low,2,1.0
South Slope,Fort Greene,20,Monday,0,Spring,3.25,Medium,1,1.3
West Village,Upper West Side,13,Saturday,1,Summer,5.74,Low,4,1.0
Murray Hill,Upper West Side,15,Sunday,1,Spring,1.58,Low,5,1.0
Clinton Hill,Harlem,2,Sunday,1,Winter,1.95,Low,2,1.0
Clinton Hill,Fort Greene,17,Tuesday,0,Winter,3.75,High,2,1.8
Borough Park,Bensonhurst,11,Tuesday,0,Spring,4.16,Low,2,1.0
Williamsburg,Park Slope,4,Sunday,1,Summer,0.42,Low,1,1.0
Gravesend,Arverne,17,Wednesday,0,Spring,1.93,High,1,1.8
Park Slope,Williamsburg,20,Friday,0,Winter,0.23,Medium,2,1.3
Bedford-Stuyvesant,Fort Greene,19,Wednesday,0,Summer,4.41,High,5,1.8
Murray Hill,Clinton Hill,7,Monday,0,Spring,0.85,Medium,1,1.3
Murray Hill,Williamsburg,8,Friday,0,Spring,3.94,High,1,1.8
Hell's Kitchen,East Harlem,17,Sunday,1,Summer,1.86,High,1,1.8
Hell's Kitchen,Bedford-Stuyvesant,14,Saturday,1,Spring,0.68,Low,1,1.0
Crown Heights,Williamsburg,22,Saturday,1,Winter,2.43,Low,2,1.0
Inwood,Bedford-Stuyvesant,11,Friday,0,Summer,2.8,Low,2,1.0
Harlem,East Harlem,6,Thursday,0,Summer,2.75,Low,1,1.0
Park Slope,West Village,20,Friday,0,Spring,2.15,Medium,1,1.3
Upper West Side,Harlem,6,Thursday,0,Spring,1.12,Low,1,1.0
Edgemere,Sheepshead Bay,17,Friday,0,Spring,3.6,High,1,1.8
Silver Lake,Arden Heights,10,Thursday,0,Spring,13.44,Medium,3,1.3
Midtown,Midtown,18,Saturday,1,Spring,3.92,High,1,1.8
Bedford-Stuyvesant,Upper West Side,13,Sunday,1,Winter,1.38,Low,1,1.0
Williamsburg,Harlem,22,Wednesday,0,Summer,1.45,Low,2,1.0
Harlem,Bedford-Stuyvesant,7,Wednesday,0,Summer,6.77,Medium,1,1.3
Crown Heights,Upper West Side,22,Friday,0,Spring,4.76,Low,2,1.0
Flatbush,South Slope,20,Monday,0,Winter,5.96,Medium,1,1.3
Prince's Bay,Eltingville,20,Sunday,1,Spring,21.69,Medium,5,1.3
Fort Greene,Chinatown,8,Friday,0,Winter,1.12,High,1,1.8
West Village,Harlem,17,Tuesday,0,Spring,1.25,High,4,1.8
Midwood,Woodrow,3,Wednesday,0,Spring,21.41,Low,1,1.0
Harlem,Upper West Side,10,Wednesday,0,Spring,0.79,Medium,1,1.3
Greenpoint,Upper West Side,18,Monday,0,Winter,1.68,High,1,1.8
East Harlem,Kensington,23,Saturday,1,Winter,1.51,Low,1,1.0
Crown Heights,Upper West Side,13,Tuesday,0,Spring,5.73,Low,2,1.0
Harlem,Harlem,11,Tuesday,0,Winter,3.33,Low,1,1.0
Upper West Side,Bedford-Stuyvesant,20,Monday,0,Winter,1.39,Medium,1,1.3
Midwood,Oakwood,10,Thursday,0,Spring,16.22,Medium,1,1.3
Fort Hamilton,Arverne,12,Thursday,0,Winter,2.2,Low,1,1.0
Upper West Side,South Slope,16,Tuesday,0,Spring,2.67,Medium,1,1.3
East Harlem,East Harlem,7,Friday,0,Summer,2.0,Medium,1,1.3
Canarsie,Rossville,16,Wednesday,0,Winter,11.25,Medium,1,1.3
East Harlem,Upper West Side,16,Wednesday,0,Winter,5.1,Medium,1,1.3
Bedford-Stuyvesant,East Harlem,5,Friday,0,Spring,2.53,Low,1,1.0
East Harlem,Kensington,22,Wednesday,0,Summer,5.25,Low,1,1.0
Inwood,Williamsburg,9,Sunday,1,Summer,1.52,High,2,1.8
Flatbush,Sheepshead Bay,15,Tuesday,0,Spring,4.3,Low,1,1.0
Bay Ridge,Bayswater,11,Wednesday,0,Summer,1.49,Low,1,1.0
Bedford-Stuyvesant,South Slope,10,Sunday,1,Winter,2.87,Medium,1,1.3
Chinatown,Fort Greene,19,Tuesday,0,Winter,1.96,High,1,1.8
Williamsburg,Kensington,22,Saturday,1,Spring,3.82,Low,1,1.0
Bedford-Stuyvesant,Harlem,8,Tuesday,0,Spring,1.62,High,1,1.8
East Harlem,Upper West Side,12,Sunday,1,Spring,4.56,Low,1,1.0
Hell's Kitchen,Harlem,13,Friday,0,Winter,2.91,Low,1,1.0
Borough Park,Bayswater,8,Tuesday,0,Spring,0.79,High,2,1.8
Tottenville,Tottenville,15,Monday,0,Spring,0.0,Low,1,1.0
East Harlem,Harlem,17,Sunday,1,Winter,1.8,High,1,1.8
South Slope,Murray Hill,19,Thursday,0,Winter,3.28,High,1,1.8
Hell's Kitchen,Bedford-Stuyvesant,15,Sunday,1,Spring,2.24,Low,2,1.0
Midtown,Chelsea,19,Sunday,1,Winter,3.74,High,1,1.8
East Harlem,Midtown,17,Thursday,0,Spring,2.1,High,5,1.8
Harlem,Bedford-Stuyvesant,8,Thursday,0,Spring,2.17,High,1,1.8
Clinton Hill,Hell's Kitchen,18,Sunday,1,Winter,1.01,High,1,1.8
Fort Greene,East Harlem,17,Friday,0,Winter,2.23,High,1,1.8
East Harlem,Harlem,18,Friday,0,Winter,1.73,High,1,1.8
Bedford-Stuyvesant,Harlem,18,Wednesday,0,Summer,1.28,High,1,1.8
Williamsburg,Upper West Side,12,Thursday,0,Winter,0.5,Low,1,1.0
Midwood,Sheepshead Bay,6,Thursday,0,Spring,2.59,Low,1,1.0
Fort Greene,Fort Greene,13,Sunday,1,Summer,0.0,Low,1,1.0
Upper West Side,Greenpoint,11,Friday,0,Spring,2.46,Low,1,1.0
Bedford-Stuyvesant,Hell's Kitchen,3,Saturday,1,Winter,1.57,Low,1,1.0
Hell's Kitchen,Midtown,18,Saturday,1,Winter,1.47,High,1,1.8
South Slope,Upper West Side,1,Monday,0,Summer,1.55,Low,3,1.0
Murray Hill,Bedford-Stuyvesant,11,Thursday,0,Summer,3.53,Low,1,1.0
Upper West Side,West Village,17,Sunday,1,Spring,2.88,High,3,1.8
Arden Heights,Bay Ridge,14,Wednesday,0,Winter,13.29,Low,1,1.0
Murray Hill,Upper West Side,22,Wednesday,0,Summer,1.14,Low,1,1.0
Bedford-Stuyvesant,East Harlem,15,Thursday,0,Spring,0.13,Low,1,1.0
Bedford-Stuyvesant,Williamsburg,20,Wednesday,0,Winter,0.83,Medium,2,1.3
Upper West Side,Kensington,19,Friday,0,Spring,3.45,High,1,1.8
West Village,Kensington,10,Tuesday,0,Winter,2.03,Medium,1,1.3
Upper West Side,East Harlem,23,Thursday,0,Spring,0.98,Low,1,1.0
Midtown,East Harlem,10,Tuesday,0,Winter,2.67,Medium,1,1.3
Park Slope,Midtown,13,Thursday,0,Summer,2.42,Low,1,1.0
South Slope,Harlem,10,Sunday,1,Spring,2.96,Medium,2,1.3
Bedford-Stuyvesant,Williamsburg,0,Thursday,0,Winter,1.56,Low,1,1.0
East Harlem,Chinatown,0,Saturday,1,Spring,1.06,Low,1,1.0
Kensington,Hell's Kitchen,9,Wednesday,0,Spring,8.81,High,2,1.8
Harlem,Bedford-Stuyvesant,7,Friday,0,Winter,1.16,Medium,2,1.3
Murray Hill,Upper West Side,19,Monday,0,Summer,2.62,High,1,1.8
Tottenville,Great Kills,6,Thursday,0,Spring,17.15,Low,1,1.0
East Harlem,Upper West Side,9,Thursday,0,Spring,1.54,High,5,1.8
Harlem,Upper West Side,15,Saturday,1,Winter,3.68,Low,1,1.0
Fort Hamilton,Arrochar,10,Friday,0,Winter,2.52,Medium,2,1.3
Clinton Hill,East Harlem,18,Saturday,1,Spring,3.51,High,1,1.8
Upper West Side,Upper West Side,12,Friday,0,Winter,1.38,Low,1,1.0
"Bay Terrace, Staten Island",Tottenville,15,Sunday,1,Spring,25.6,Low,3,1.0
Fort Greene,Upper West Side,21,Saturday,1,Summer,1.29,Low,1,1.0
Harlem,Chinatown,13,Wednesday,0,Spring,2.18,Low,2,1.0
Inwood,Harlem,13,Saturday,1,Spring,6.43,Low,1,1.0
Midtown,Harlem,21,Friday,0,Summer,3.54,Low,1,1.0
Upper West Side,East Harlem,16,Wednesday,0,Winter,2.74,Medium,5,1.3
Bayswater,Arrochar,11,Tuesday,0,Spring,1.21,Low,1,1.0
Harlem,Bedford-Stuyvesant,12,Wednesday,0,Spring,2.85,Low,2,1.0
"Bay Terrace, Staten Island",Brighton Beach,14,Friday,0,Winter,9.24,Low,1,1.0
Bedford-Stuyvesant,South Slope,20,Tuesday,0,Winter,4.78,Medium,1,1.3
South Slope,Harlem,3,Saturday,1,Winter,5.83,Low,1,1.0
Murray Hill,Upper West Side,17,Thursday,0,Spring,1.8,High,1,1.8
Chinatown,Upper West Side,11,Sunday,1,Summer,0.17,Low,1,1.0
Upper West Side,South Slope,8,Monday,0,Spring,4.2,High,1,1.8
South Slope,Midtown,8,Tuesday,0,Spring,1.39,High,1,1.8
Hell's Kitchen,Harlem,21,Thursday,0,Winter,5.86,Low,1,1.0
East Harlem,Park Slope,18,Tuesday,0,Spring,2.33,High,1,1.8
East Harlem,Bedford-Stuyvesant,8,Thursday,0,Winter,1.35,High,1,1.8
Flatbush,Oakwood,22,Tuesday,0,Winter,14.31,Low,1,1.0
Rossville,Flatbush,21,Sunday,1,Winter,11.17,Low,1,1.0
Upper West Side,Upper West Side,20,Monday,0,Spring,8.79,Medium,2,1.3
Hell's Kitchen,Murray Hill,5,Thursday,0,Spring,10.12,Low,2,1.0
Kensington,Inwood,20,Tuesday,0,Spring,1.87,Medium,1,1.3
Tottenville,Prince's Bay,21,Tuesday,0,Winter,24.63,Low,1,1.0
Inwood,Fort Greene,2,Saturday,1,Summer,2.01,Low,1,1.0
Upper West Side,Chinatown,13,Thursday,0,Summer,0.54,Low,2,1.0
Williamsburg,East Harlem,11,Sunday,1,Summer,2.84,Low,1,1.0
South Slope,Hell's Kitchen,17,Tuesday,0,Winter,1.56,High,1,1.8
Inwood,East Harlem,1,Thursday,0,Winter,8.53,Low,1,1.0
Midtown,Williamsburg,8,Monday,0,Summer,1.39,High,1,1.8
Bedford-Stuyvesant,East Harlem,15,Friday,0,Spring,1.72,Low,5,1.0
South Slope,South Slope,13,Sunday,1,Summer,2.67,Low,6,1.0
South Slope,Upper West Side,23,Tuesday,0,Spring,4.33,Low,4,1.0
Clinton Hill,Kensington,18,Tuesday,0,Spring,2.88,High,1,1.8
East Harlem,East Harlem,21,Friday,0,Spring,1.3,Low,1,1.0
Murray Hill,Crown Heights,18,Thursday,0,Summer,8.0,High,1,1.8
East Harlem,Upper West Side,10,Tuesday,0,Spring,0.91,Medium,1,1.3
Harlem,Park Slope,13,Monday,0,Spring,1.15,Low,1,1.0
Clifton,South Beach,14,Saturday,1,Spring,2.3,Low,1,1.0
South Slope,Upper West Side,18,Saturday,1,Winter,0.73,High,6,1.8
Hell's Kitchen,Murray Hill,18,Thursday,0,Spring,4.45,High,1,1.8
South Slope,Upper West Side,6,Wednesday,0,Winter,3.58,Low,1,1.0
Upper West Side,East Harlem,8,Thursday,0,Spring,3.55,High,1,1.8
West Village,Upper West Side,10,Sunday,1,Spring,0.85,Medium,1,1.3
Midtown,Bedford-Stuyvesant,15,Monday,0,Spring,1.52,Low,2,1.0
Hell's Kitchen,Upper West Side,22,Thursday,0,Spring,3.31,Low,2,1.0
Tottenville,Prince's Bay,20,Saturday,1,Winter,25.94,Medium,2,1.3
Bedford-Stuyvesant,Fort Greene,19,Tuesday,0,Spring,2.37,High,1,1.8
West Village,West Village,13,Sunday,1,Spring,2.37,Low,2,1.0
Harlem,Park Slope,19,Sunday,1,Summer,4.06,High,1,1.8
Fort Greene,Inwood,22,Monday,0,Spring,2.61,Low,1,1.0
Bensonhurst,Arden Heights,13,Friday,0,Spring,9.22,Low,1,1.0
Midtown,East Harlem,11,Tuesday,0,Spring,2.8,Low,1,1.0
East Harlem,East Harlem,7,Monday,0,Winter,7.65,Medium,5,1.3
Murray Hill,Upper West Side,19,Friday,0,Winter,0.76,High,1,1.8
East Harlem,Clinton Hill,20,Saturday,1,Summer,7.97,Medium,1,1.3
Upper West Side,Kensington,12,Thursday,0,Summer,1.99,Low,5,1.0
Upper West Side,West Village,1,Friday,0,Winter,1.28,Low,1,1.0
South Slope,Fort Greene,20,Tuesday,0,Spring,6.18,Medium,2,1.3
Williamsburg,Upper West Side,1,Thursday,0,Spring,5.76,Low,5,1.0
Harlem,Kensington,21,Monday,0,Spring,5.32,Low,1,1.0
Murray Hill,Kensington,14,Tuesday,0,Spring,2.14,Low,2,1.0
Hell's Kitchen,South Slope,1,Saturday,1,Winter,3.13,Low,6,1.0
Harlem,Fort Greene,0,Sunday,1,Winter,3.24,Low,3,1.0
East Harlem,Upper West Side,18,Friday,0,Winter,1.15,High,6,1.8
Williamsburg,Upper West Side,7,Monday,0,Spring,4.48,Medium,2,1.3
East Harlem,East Harlem,13,Saturday,1,Winter,5.99,Low,1,1.0
East Harlem,Clinton Hill,10,Wednesday,0,Winter,0.44,Medium,1,1.3
Hell's Kitchen,Bedford-Stuyvesant,18,Wednesday,0,Spring,2.98,High,1,1.8
Murray Hill,Fort Greene,14,Sunday,1,Winter,5.22,Low,1,1.0
Hell's Kitchen,Harlem,8,Friday,0,Winter,1.34,High,1,1.8
Brighton Beach,Far Rockaway,8,Wednesday,0,Spring,3.0,High,1,1.8
Upper West Side,Hell's Kitchen,19,Saturday,1,Spring,1.85,High,5,1.8
Park Slope,Murray Hill,21,Thursday,0,Spring,2.6,Low,1,1.0
Fort Greene,Chinatown,22,Monday,0,Winter,1.47,Low,1,1.0
Inwood,Harlem,15,Saturday,1,Spring,2.35,Low,1,1.0
Midtown,Inwood,21,Wednesday,0,Winter,6.51,Low,1,1.0
South Slope,Crown Heights,11,Monday,0,Spring,2.86,Low,1,1.0
Harlem,East Harlem,14,Sunday,1,Spring,1.52,Low,1,1.0
Inwood,East Harlem,20,Friday,0,Winter,9.52,Medium,1,1.3
Upper West Side,East Harlem,20,Tuesday,0,Spring,9.11,Medium,6,1.3
Crown Heights,East Harlem,17,Tuesday,0,Spring,1.41,High,1,1.8
Fort Hamilton,Huguenot,2,Thursday,0,Spring,18.37,Low,1,1.0
Hell's Kitchen,Harlem,22,Tuesday,0,Spring,9.85,Low,1,1.0
Murray Hill,Crown Heights,10,Monday,0,Spring,2.31,Medium,1,1.3
Crown Heights,Upper West Side,4,Thursday,0,Summer,1.54,Low,1,1.0
West Village,Upper West Side,18,Sunday,1,Spring,0.48,High,1,1.8
Fort Greene,South Slope,15,Monday,0,Winter,2.37,Low,1,1.0
Bedford-Stuyvesant,Kensington,17,Saturday,1,Summer,9.61,High,3,1.8
Clinton Hill,East Harlem,18,Friday,0,Winter,3.64,High,1,1.8
Harlem,South Slope,12,Sunday,1,Spring,1.0,Low,1,1.0
Bedford-Stuyvesant,Harlem,15,Monday,0,Winter,1.78,Low,2,1.0
East Harlem,South Slope,21,Saturday,1,Spring,2.41,Low,1,1.0
Bedford-Stuyvesant,Murray Hill,10,Sunday,1,Summer,1.79,Medium,3,1.3
Bergen Beach,Bensonhurst,14,Saturday,1,Spring,1.77,Low,3,1.0
Bedford-Stuyvesant,Bedford-Stuyvesant,19,Sunday,1,Summer,3.25,High,3,1.8
Kensington,Upper West Side,13,Sunday,1,Summer,2.06,Low,1,1.0
Fort Greene,East Harlem,10,Saturday,1,Summer,1.56,Medium,5,1.3
Huguenot,Tottenville,14,Sunday,1,Winter,25.66,Low,1,1.0
East Harlem,Inwood,0,Thursday,0,Spring,1.74,Low,1,1.0
Williamsburg,Upper West Side,12,Saturday,1,Summer,1.07,Low,2,1.0
Fort Greene,Fort Greene,8,Monday,0,Winter,10.22,High,3,1.8
Murray Hill,Harlem,10,Thursday,0,Winter,1.65,Medium,1,1.3
Hell's Kitchen,Upper West Side,21,Tuesday,0,Winter,1.38,Low,1,1.0
East Harlem,Clinton Hill,14,Thursday,0,Winter,1.14,Low,1,1.0
Upper West Side,West Village,10,Wednesday,0,Spring,2.49,Medium,2,1.3
Park Slope,East Harlem,12,Tuesday,0,Winter,2.1,Low,1,1.0
East Harlem,Chelsea,18,Saturday,1,Winter,3.09,High,1,1.8
Upper West Side,South Slope,23,Sunday,1,Summer,2.5,Low,1,1.0
Fort Greene,Bedford-Stuyvesant,12,Saturday,1,Winter,1.94,Low,1,1.0
Arverne,Bensonhurst,10,Saturday,1,Winter,6.26,Medium,1,1.3
Hell's Kitchen,East Harlem,1,Thursday,0,Spring,4.26,Low,2,1.0
Harlem,Harlem,21,Sunday,1,Spring,3.27,Low,1,1.0
Harlem,East Harlem,18,Wednesday,0,Winter,3.15,High,1,1.8
Arden Heights,Flatbush,11,Wednesday,0,Spring,14.08,Low,1,1.0
East Harlem,South Slope,22,Thursday,0,Spring,1.23,Low,1,1.0
Upper West Side,South Slope,11,Wednesday,0,Spring,0.67,Low,1,1.0
Bedford-Stuyvesant,West Village,15,Monday,0,Spring,4.29,Low,5,1.0
Fort Hamilton,Arverne,11,Monday,0,Winter,3.07,Low,1,1.0
Harlem,Harlem,15,Saturday,1,Spring,0.86,Low,6,1.0
Greenpoint,Williamsburg,22,Saturday,1,Summer,1.74,Low,1,1.0
Bedford-Stuyvesant,Williamsburg,20,Thursday,0,Spring,7.03,Medium,5,1.3
Murray Hill,Bedford-Stuyvesant,1,Saturday,1,Winter,6.36,Low,2,1.0
Hell's Kitchen,Upper West Side,20,Wednesday,0,Winter,2.1,Medium,2,1.3
East Harlem,East Harlem,12,Thursday,0,Winter,0.72,Low,1,1.0
Harlem,Harlem,1,Monday,0,Winter,5.99,Low,1,1.0
Williamsburg,Harlem,11,Monday,0,Summer,1.7,Low,1,1.0
Murray Hill,East Harlem,7,Thursday,0,Winter,2.97,Medium,1,1.3
Harlem,Fort Greene,0,Friday,0,Spring,9.93,Low,1,1.0
Upper West Side,East Harlem,20,Friday,0,Summer,2.28,Medium,2,1.3
Tottenville,Great Kills,5,Wednesday,0,Spring,8.76,Low,1,1.0
Concord,Far Rockaway,8,Friday,0,Spring,2.54,High,5,1.8
Inwood,Harlem,14,Saturday,1,Spring,2.63,Low,1,1.0
Upper West Side,Harlem,6,Friday,0,Spring,2.19,Low,2,1.0
Bedford-Stuyvesant,Harlem,16,Monday,0,Winter,1.4,Medium,5,1.3
Fort Greene,East Harlem,13,Sunday,1,Spring,1.19,Low,2,1.0
Hell's Kitchen,South Slope,0,Monday,0,Winter,1.27,Low,1,1.0
Park Slope,Bedford-Stuyvesant,8,Wednesday,0,Summer,0.82,High,5,1.8
South Slope,Upper West Side,18,Monday,0,Spring,0.9,High,1,1.8
Upper West Side,Upper West Side,11,Thursday,0,Spring,1.72,Low,1,1.0
East Harlem,Harlem,12,Sunday,1,Winter,2.21,Low,1,1.0
Kensington,Harlem,8,Tuesday,0,Summer,1.23,High,1,1.8
Chinatown,Bedford-Stuyvesant,13,Wednesday,0,Winter,1.26,Low,1,1.0
Fort Hamilton,Rosebank,6,Friday,0,Summer,1.01,Low,1,1.0
Chelsea,Bedford-Stuyvesant,11,Saturday,1,Winter,2.06,Low,2,1.0
East Harlem,Chinatown,10,Thursday,0,Spring,2.05,Medium,4,1.3
West Village,Kensington,9,Friday,0,Winter,2.56,High,1,1.8
Williamsburg,Bedford-Stuyvesant,16,Thursday,0,Winter,5.76,Medium,2,1.3
Midtown,Greenpoint,0,Saturday,1,Winter,1.46,Low,5,1.0
Upper West Side,Harlem,7,Wednesday,0,Winter,0.72,Medium,6,1.3
West Village,East Harlem,8,Monday,0,Spring,3.21,High,1,1.8
Hell's Kitchen,West Village,3,Thursday,0,Summer,1.68,Low,1,1.0
Bedford-Stuyvesant,Crown Heights,11,Friday,0,Spring,2.28,Low,1,1.0
Sheepshead Bay,Fort Hamilton,13,Monday,0,Winter,4.17,Low,1,1.0
South Slope,South Slope,16,Tuesday,0,Spring,1.42,Medium,1,1.3
East Harlem,Windsor Terrace,15,Monday,0,Spring,0.78,Low,1,1.0
Upper West Side,East Harlem,14,Wednesday,0,Winter,0.87,Low,1,1.0
Williamsburg,Harlem,17,Thursday,0,Spring,0.94,High,1,1.8
Fort Greene,Fort Greene,0,Monday,0,Spring,2.78,Low,1,1.0
Harlem,Harlem,13,Saturday,1,Spring,1.01,Low,1,1.0
Midtown,Harlem,7,Thursday,0,Spring,0.74,Medium,1,1.3
Inwood,Greenpoint,21,Sunday,1,Spring,1.97,Low,5,1.0
Upper West Side,Upper West Side,11,Saturday,1,Spring,0.66,Low,2,1.0
Crown Heights,East Village,1,Tuesday,0,Summer,2.32,Low,1,1.0
Bensonhurst,Arrochar,6,Wednesday,0,Spring,2.3,Low,1,1.0
Hell's Kitchen,Upper West Side,8,Saturday,1,Spring,2.78,High,1,1.8
Upper West Side,Fort Greene,17,Sunday,1,Summer,1.3,High,5,1.8
Harlem,West Village,1,Tuesday,0,Winter,2.31,Low,2,1.0
Hell's Kitchen,Upper West Side,12,Saturday,1,Spring,2.54,Low,2,1.0
Edgemere,Sheepshead Bay,17,Friday,0,Winter,4.02,High,1,1.8
Bensonhurst,Bayswater,0,Thursday,0,Spring,0.7,Low,1,1.0
Bedford-Stuyvesant,Harlem,17,Tuesday,0,Winter,3.67,High,1,1.8
Kensington,Crown Heights,22,Thursday,0,Spring,6.31,Low,1,1.0
Harlem,South Slope,0,Sunday,1,Spring,1.24,Low,5,1.0
West Village,Upper West Side,10,Thursday,0,Spring,1.01,Medium,1,1.3
Kensington,South Slope,19,Wednesday,0,Summer,6.7,High,3,1.8
East Harlem,Crown Heights,12,Wednesday,0,Summer,2.04,Low,1,1.0
Upper West Side,Clinton Hill,11,Thursday,0,Winter,1.69,Low,5,1.0
Upper West Side,Upper West Side,19,Sunday,1,Spring,2.25,High,1,1.8
Bedford-Stuyvesant,South Slope,19,Monday,0,Spring,2.22,High,2,1.8
Clinton Hill,Crown Heights,22,Monday,0,Spring,0.73,Low,1,1.0
Chinatown,Park Slope,17,Sunday,1,Winter,2.8,High,2,1.8
Harlem,Fort Greene,21,Wednesday,0,Spring,0.97,Low,1,1.0
Harlem,Midtown,21,Tuesday,0,Spring,13.0,Low,1,1.0
Williamsburg,Crown Heights,3,Saturday,1,Spring,0.74,Low,2,1.0
East Village,Crown Heights,15,Sunday,1,Winter,1.37,Low,1,1.0
Hell's Kitchen,Williamsburg,21,Monday,0,Winter,2.59,Low,1,1.0
Upper West Side,Crown Heights,19,Wednesday,0,Winter,0.79,High,1,1.8
Hell's Kitchen,Inwood,3,Sunday,1,Winter,0.43,Low,2,1.0
Fort Greene,Fort Greene,15,Friday,0,Spring,7.12,Low,1,1.0
Bedford-Stuyvesant,Fort Greene,0,Sunday,1,Spring,2.16,Low,1,1.0
Murray Hill,Murray Hill,12,Friday,0,Winter,1.57,Low,1,1.0
Crown Heights,Lower East Side,23,Wednesday,0,Spring,3.37,Low,1,1.0
East Harlem,Upper West Side,19,Monday,0,Winter,6.26,High,2,1.8
Crown Heights,East Harlem,13,Friday,0,Spring,1.96,Low,1,1.0
Tottenville,Huguenot,13,Wednesday,0,Summer,25.08,Low,1,1.0
East Harlem,East Harlem,22,Monday,0,Spring,3.0,Low,2,1.0
Bedford-Stuyvesant,East Harlem,9,Sunday,1,Spring,6.02,High,1,1.8
Bedford-Stuyvesant,Upper West Side,8,Monday,0,Winter,3.28,High,1,1.8
Harlem,Midtown,8,Wednesday,0,Summer,3.29,High,1,1.8
Williamsburg,Bedford-Stuyvesant,11,Saturday,1,Winter,0.57,Low,2,1.0
Upper West Side,Fort Greene,8,Monday,0,Winter,1.02,High,1,1.8
Upper West Side,Upper West Side,23,Saturday,1,Winter,1.18,Low,1,1.0
East Harlem,Upper West Side,12,Wednesday,0,Spring,1.17,Low,2,1.0
Chelsea,South Slope,16,Friday,0,Winter,2.5,Medium,1,1.3
Midwood,Sheepshead Bay,0,Friday,0,Spring,2.59,Low,4,1.0
Arrochar,Flatbush,11,Saturday,1,Spring,3.66,Low,1,1.0
Midtown,South Slope,23,Monday,0,Spring,2.86,Low,1,1.0
South Slope,Chinatown,10,Tuesday,0,Summer,1.39,Medium,1,1.3
Chelsea,East Harlem,6,Wednesday,0,Spring,1.91,Low,1,1.0
Bedford-Stuyvesant,Park Slope,15,Tuesday,0,Winter,4.33,Low,1,1.0
Upper West Side,Crown Heights,7,Monday,0,Spring,3.18,Medium,4,1.3
Great Kills,Great Kills,16,Tuesday,0,Summer,18.7,Medium,2,1.3
West Village,Harlem,7,Wednesday,0,Winter,2.6,Medium,6,1.3
Harlem,Williamsburg,15,Wednesday,0,Spring,1.86,Low,1,1.0
Upper West Side,Bedford-Stuyvesant,2,Friday,0,Spring,10.23,Low,1,1.0
Bedford-Stuyvesant,West Village,15,Saturday,1,Winter,3.31,Low,2,1.0
Harlem,South Slope,3,Sunday,1,Winter,2.51,Low,2,1.0
East Harlem,Bedford-Stuyvesant,18,Tuesday,0,Spring,2.21,High,3,1.8
South Slope,Harlem,13,Sunday,1,Spring,1.76,Low,1,1.0
East Harlem,Upper West Side,11,Tuesday,0,Spring,2.83,Low,1,1.0
Harlem,Crown Heights,0,Tuesday,0,Summer,0.82,Low,1,1.0
Crown Heights,Chinatown,18,Thursday,0,Spring,4.94,High,1,1.8
Bedford-Stuyvesant,East Harlem,13,Monday,0,Spring,2.3,Low,2,1.0
Murray Hill,Upper West Side,20,Sunday,1,Summer,0.65,Medium,2,1.3
East Village,Bedford-Stuyvesant,16,Tuesday,0,Summer,0.72,Medium,1,1.3
Chinatown,Crown Heights,21,Wednesday,0,Summer,1.11,Low,2,1.0
Bedford-Stuyvesant,East Harlem,20,Tuesday,0,Spring,6.05,Medium,1,1.3
Harlem,Bedford-Stuyvesant,9,Tuesday,0,Spring,6.38,High,1,1.8
Fort Greene,Upper West Side,5,Friday,0,Winter,5.27,Low,5,1.0
Upper West Side,Park Slope,0,Friday,0,Spring,1.85,Low,1,1.0
Harlem,South Slope,21,Thursday,0,Spring,2.26,Low,1,1.0
South Slope,Williamsburg,19,Friday,0,Spring,0.92,High,1,1.8
East Harlem,East Village,20,Thursday,0,Spring,2.73,Medium,1,1.3
Hell's Kitchen,West Village,0,Sunday,1,Spring,3.48,Low,1,1.0
Harlem,East Harlem,13,Sunday,1,Winter,4.31,Low,1,1.0
Harlem,Harlem,8,Monday,0,Summer,2.18,High,1,1.8
Bedford-Stuyvesant,Kensington,17,Thursday,0,Summer,2.21,High,1,1.8
Williamsburg,Upper West Side,2,Friday,0,Spring,1.59,Low,1,1.0
Flatbush,Fort Greene,11,Saturday,1,Spring,1.78,Low,1,1.0
